label,sublabel,description,styles,bgcolor
不燃,,,img/moyasanai02.svg,#733b96
資源・ペットボトル,,,img/shigen02.svg,#77ae1f
可燃,,,img/moyasu02.svg,#ea3b13
有価,,,img/bin02.svg,#2dc7aa
